Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Hungary,Operator Holding Account,ALTEK-Tégla és Cserépipari Kft.,16-09-005019,2005-01-01,closed,Földvári út,5400,Mezõtúr,11336,11336,11336,5617,5617,5617,5617,5617,0,0,0,0,0,0,0,0,2671,5058,5912,3319,434,470,478,1403,Not Reported,Not Reported,Not Reported,,,,,,,7729,5912,3319,434,470,478,1403,,,,,,,,
Hungary,Operator Holding Account,Bakonyi Bioenergia Kft.,19-09-507082,2005-01-01,open,Gyártelep Hrsz,8400,Ajka,352814,352814,352814,16558,16558,16585,16585,16585,0,0,0,0,0,0,0,0,21904,13017,14230,3535,4450,642,911,530,487,528,494,730,,,,,21904,13017,14230,3535,4450,642,911,530,487,528,494,730,,,,
Hungary,Operator Holding Account,Bakonyi Erõmû Zrt.,19-10-500026,2005-01-01,open,Gyártelep Hrsz,8400,Ajka,419977,419977,419977,302996,302996,303488,303488,303488,35555,29180,23512,18533,14212,11402,9379,7429,530793,468218,431666,439609,212810,253387,287042,304605,202998,115558,72258,66617,,,,,530793,468218,431666,439609,212810,253387,287042,304605,202998,115558,72258,66617,,,,
Hungary,Operator Holding Account,Baranya-Tégla Ipari és Kereskedelmi Kft.,02-09-062387,2005-01-01,closed,Budai Nagy Antal utca,7624,Pécs,10113,10113,10113,7795,7795,7795,7795,7795,0,0,0,0,0,0,0,0,4734,4888,6214,6813,81,150,90,63,11,8,,,,,,,4734,4888,6214,6813,81,150,90,63,11,8,,,,,,
Hungary,Operator Holding Account,BC-Erõmû Kft.,05-09-007481,2005-01-01,open,Bólyai tér,3700,Kazincbarcika,218501,218501,218501,219174,219174,219174,219174,219174,0,0,0,0,0,0,0,0,220875,223348,225133,216171,191598,247887,265835,285335,270762,257714,252402,285753,,,,,220875,223348,225133,216171,191598,247887,265835,285335,270762,257714,252402,285753,,,,
Hungary,Operator Holding Account,"BÉM Borsodi Érc, Ásvány és Nyersanyag Feldolgozó Mû Zrt.",05-10-000352,2007-11-16,closed,Ipartelep,3791,Sajókeresztúr,80842,80842,80842,49450,49450,49450,49450,49450,13424,0,0,0,0,0,0,0,54038,53035,32178,14249,24938,21454,20785,20934,1748,,,,,,,,54038,53035,33649,14249,24938,21454,20785,20934,1748,,,,,,,
Hungary,Operator Holding Account,Berényi Téglaipari Kft.,04-09-002541,2005-01-01,open,Gyár utca,5650,Mezõberény,10244,10244,10244,8666,8666,8666,8666,8666,5396,3767,3701,5112,5014,4917,4819,4719,6069,5780,7488,7496,6526,6519,4575,6001,3678,3268,4747,6119,,,,,5763,6087,7487,7496,6526,6519,4575,6001,3678,3268,4747,6119,,,,
Hungary,Operator Holding Account,BorsodChem Zrt.,05-10-000054,2005-01-01,open,Bólyai tér,3700,Kazincbarcika,70697,70697,70697,62765,62791,68510,60837,60837,250175,245699,241176,236613,232007,227361,222664,217957,53483,61309,74124,69756,52445,55418,60697,56110,131100,154682,148627,117945,,,,,53483,61309,74124,69766,52445,55418,60697,56110,131100,154682,148627,117945,,,,
Hungary,Operator Holding Account,Borsodi Sörgyár Kft.,05-09-019849,2005-01-01,open,Rákóczi Ferenc utca,3574,Bõcs,17319,17319,17319,21505,14744,20594,14744,14744,8981,8036,7118,6228,5365,4531,3722,2945,14858,18499,20233,20504,17241,13148,9369,7654,6233,5745,5526,5903,,,,,14858,,38732,20504,17241,13148,9369,7654,6233,5745,5526,5903,,,,
Hungary,Operator Holding Account,BTG Budaörsi Településgazdálkodási Kft.,13-09-064364,2005-01-01,closed,Dózsa György utca,2040,Budaörs,8648,8648,8648,6712,6712,6712,6712,6712,4748,4249,0,0,0,0,0,0,7288,6561,5972,5621,5807,5880,5837,6090,5868,5113,,,,,,,7288,6561,5972,5621,5807,5880,5837,6090,5868,5113,,,,,,
