Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Austria,Operator Holding Account,AMAG Service GmbH,FN 114723 k,2005-05-30,open,Lamprechtshausnerstraße 61,5282,Braunau am Inn - Rannshofen,9628,9628,9628,9149,9149,9149,9149,9149,389,348,308,270,232,197,162,128,9595,9341,7689,6984,6849,7221,6445,6435,7706,7093,5872,6618,,,,,9595,9341,7689,6984,6849,7221,6445,6435,7706,7093,5872,6618,,,,
Austria,Operator Holding Account,"""BAUMIT"" Baustoffe Gesellschaft m.b.H.",FN 87132 k,2005-06-01,open,Linzer Straße 8,4820,Bad Ischl,44894,44894,44894,43171,43171,43171,43171,43171,42159,41426,40685,39937,39180,38416,37643,36866,41399,42708,51041,57009,44299,45808,47922,49810,50105,50308,41989,45142,,,,,41399,42708,51041,57009,44299,45808,47922,49810,50105,50308,41989,45142,,,,
Austria,Operator Holding Account,Borealis Polyolefine GmbH,FN 125430g,2005-01-12,open,Danubiastrasse 21-25,2320,Schwechat-Mannswörth,19096,19096,19096,14798,14798,14798,14798,14798,76040,74720,73384,72034,70669,69291,67896,66496,13944,19398,19276,30701,30803,44749,43298,40451,20717,14510,12968,13753,,,,,13944,19398,19276,30701,30803,44749,43298,40451,20717,14510,12968,13753,,,,
Austria,Operator Holding Account,Breitenfeld Edelstahl AG,FN 74471 t,2005-11-23,open,Breitenfeldstrasse 22,8662,Mitterdorf,8492,8492,8492,14063,17155,26429,26429,26429,15118,14856,14590,14322,14051,13776,13499,13221,12104,12256,14976,17523,16815,15963,19328,16434,19734,18498,17366,17233,,,,,12104,12256,14976,17523,16815,15963,19328,16434,29290,18498,17366,17233,,,,
Austria,Operator Holding Account,GA Immobilien GmbH,FN 114787 f,2005-01-25,closed,Herzogenburgstrasse 69,3100,St. Pölten,60878,60878,60878,60346,60346,60346,60346,60346,,,,,,,,,59801,51694,46013,25481,3054,3090,3049,1672,,,,,,,,,59801,51694,46013,25481,3054,3090,3049,1672,,,,,,,,
Austria,Operator Holding Account,Cogeneration-Kraftwerke Management Oberösterreich GmbH,FN 90934 b,2005-04-14,open,Böhmerwaldstrasse 3,4021,Linz,253605,253605,253605,243831,243831,243831,243831,243831,5743,5140,4553,3985,3435,2903,2388,1892,243736,223958,234895,240789,234321,236053,238288,227591,159977,129499,116886,137345,,,,,243736,223958,234895,240789,234321,236053,238288,227591,159977,129499,116886,137345,,,,
Austria,Operator Holding Account,Zementwerk Hatschek GmbH,FN 160460 x,2004-01-01,open,Hatschekstrasse 25,4810,Gmunden,343437,343437,343437,333309,333309,392937,354992,354992,355431,349257,343011,336700,330320,323879,317358,310813,369924,397422,397936,385307,356692,310139,327781,344237,281768,331127,328182,331383,,,,,369924,397422,397937,385307,356692,310139,327781,344237,281768,331127,328182,331383,,,,
Austria,Operator Holding Account,F.M. Hämmerle Textil Produktion und Vertrieb GmbH,FN 334036 f,2004-01-02,closed,Eisengasse 44,6850,Dornbirn,12899,12899,12899,9981,9981,9981,9981,0,,,,,,,,,9561,9125,9501,7407,3495,3896,919,Not Reported,,,,,,,,,9561,9125,9501,2370,3495,3896,919,,2,,,,,,,
Austria,Operator Holding Account,Energie Steiermark Wärme GmbH,FN 57546 b,2004-01-01,open,Leonhardgürtel 10,8010,Graz,96790,96790,96790,89789,89789,89789,89789,89789,17417,3897,0,0,0,0,0,0,91548,66583,83979,56233,57343,67935,61734,47954,28440,15358,14399,14075,,,,,91548,66583,83979,56233,57343,67935,61734,47954,28440,15358,14399,14075,,,,
Austria,Operator Holding Account,FunderMax GmbH,FN 90081 y,2004-01-02,open,Klagenfurter Str. 87-89,9300,St. Veit/Glan,24003,24003,24003,27343,27343,27343,27343,27343,26223,25697,25167,24636,24102,23566,23026,22488,29943,34345,33272,23865,24304,25117,25940,25475,30819,29079,28969,30222,,,,,29943,34345,33272,23865,24304,25117,25940,25475,30819,29079,28969,30222,,,,
