Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Portugal,Operator Holding Account,"Fábrica do Arco - Recursos Energéticos, S.A.",503498017,2005-11-25,closed,"Rua Comendador António Maria Lopes, n.º 15, Apartado 9",4784-909,Santo Tirso,35871,35871,35871,26643,26643,26643,26643,0,,,,,,,,,22189,21301,22737,12261,11690,11843,12245,Not Reported,,,,,,,,,22189,21301,22737,12261,11690,11843,12245,,,,,,,,,
Portugal,Operator Holding Account,"Fapajal - Fábrica de papel do Tojal, S.A.",500109192,2005-11-25,open,Rua Arquitecto Dias Coelho,2660-394,S. Julião do Tojal,9590,9590,9590,11503,11503,11503,11503,11503,2147,2109,2072,2033,1995,1956,1917,1877,7692,6580,7989,2494,942,3083,2572,2875,3040,2945,3239,3126,,,,,7692,6580,7989,2494,942,3083,2572,2875,3040,2945,3239,3126,,,,
Portugal,Operator Holding Account,"ARCO TEXTEIS, S.A",500096732,2005-11-25,open,"Rua Comendador António Maria Lopes, n.º 15",4780-424,Santo Tirso,8389,8389,8389,7088,7088,7088,7088,7088,6739,6621,6503,6383,6263,6140,6016,5893,5168,4654,5517,5789,5210,5392,4973,5429,6135,14296,Not Reported,Not Reported,,,,,5168,4654,5517,5789,5210,5392,4973,5429,6135,,,,,,,
Portugal,Operator Holding Account,"CTE - Central Termoeléctrica do Estuário, Lda.",504440101,2005-11-25,closed,Lugar do Espido - Via Norte,4470-177,Maia,23716,23716,23716,22905,22905,22905,22905,22905,7903,7073,6265,5484,0,0,0,0,22581,22551,22789,20745,22941,22955,18002,22463,20981,23658,24826,6366,,,,,22581,22551,22789,20745,22941,22955,18002,22463,20981,23658,24826,6366,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2005-11-25,open,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,2019570,2019570,2019570,1423103,1423103,1423103,1423103,1423103,,,,,,,,,1825360,2065449,2176170,2698034,2131189,1167341,426648,95502,96209,100451,290989,626115,,,,,1825360,2065449,2176170,2698034,2131189,1167341,426648,95502,96209,100451,290989,626115,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2005-11-25,open,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,5000,5000,5000,4537,4537,4537,4537,4537,,,,,,,,,17619,1224,463,220,859,922,192,156,99,0,Not Reported,Not Reported,,,,,17619,1224,463,220,859,922,192,156,99,,,,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2005-11-25,closed,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,1088575,1088575,1088575,377234,377234,377234,377234,377234,,,,,,,,,936365,188611,167263,51634,14452,49989,1875,1,,,,,,,,,936365,188611,167263,51634,14452,49989,1875,1,,,,,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2005-11-25,closed,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,253048,253048,253048,138977,138977,138977,0,0,,,,,,,,,347958,291651,261690,226001,248219,526,,,,,,,,,,,347958,291651,261690,226001,248219,526,,,,,,,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2005-11-25,closed,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,2505210,2505210,2505210,1118999,1118999,1118999,1118999,1118999,,,,,,,,,2730062,973507,764835,555423,166596,29743,9413,17030,1061,Not Reported,Not Reported,,,,,,2730062,973507,764835,555423,166596,29743,9413,17030,1061,,,,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2005-11-25,open,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,7837380,7837380,7837380,5833317,5833317,5833317,5833317,5833317,,,,,,,,,8596172,8730335,7180123,6151342,7706253,4438198,6251550,7785589,7184113,7398654,8683899,7316936,,,,,8596172,8730335,7180123,6151342,7706253,4438198,6251550,7785589,7184113,7398654,8683899,7316936,,,,
Portugal,Operator Holding Account,"EDP - Gestão da Produção de Energia, S.A.",503293695,2009-10-12,open,"Avenida 24 de julho, n.º 12",1249-300,Lisboa,,,,0,0,1055962,731072,731072,,,,,,,,,,,,,365407,794955,1164919,521816,234180,124676,719354,759888,,,,,,,,,365407,794955,1164919,521816,234180,124676,719354,759888,,,,
Portugal,Operator Holding Account,"Companhia Térmica do Serrado, ACE",504300105,2005-11-25,closed,Lugar da Azenha,4536-906,Paços de Brandão,18276,18276,18276,17712,17712,17712,17712,17712,1439,1288,1141,0,0,0,0,0,15483,18218,15945,17171,14623,14026,13392,14118,15531,2198,919,Not Reported,,,,,15483,18218,15945,17171,14623,14026,13392,14118,15531,2198,919,,,,,
Portugal,Operator Holding Account,"Companhia Térmica Oliveira Ferreira, ACE",504652354,2005-11-25,closed,"Lugar da Avenida - Av. Narciso Ferreira, n.º 614",4765-202,Riba de Ave,12181,12181,12181,11421,11421,11421,0,0,,,,,,,,,10651,10291,7655,9968,9493,6201,,,,,,,,,,,10651,10291,7655,9968,9493,6201,,,,,,,,,,
Portugal,Operator Holding Account,"Companhia Térmica Mundo Textil, ACE",503366838,2005-11-25,closed,"Rua da Saudade, Lugar dos Enxertos, n.º 280/400, Apartado 23, Caldas de S. João",4815-413,S. João - Vizela,24184,24184,24184,20938,20938,20938,20938,20938,4397,4320,0,0,0,0,0,0,22082,24337,24084,24157,24292,19813,23100,18837,4092,1171,Not Reported,,,,,,22082,24337,24084,24157,24292,19813,23100,18837,4092,1171,,,,,,
Portugal,Operator Holding Account,"Companhia Térmica Tagol, Unipessoal, Lda",504674234,2005-11-25,open,"Rua General Ferreira Martins, n.º 6 - 8º, Algés",1495-137,Lisboa,42752,42752,42752,41603,41603,41603,41603,41603,,,,,,,,,42500,36503,46939,41981,35183,46462,48317,44723,50344,51495,53678,53206,,,,,42500,36503,46939,41981,35183,46462,48317,44723,50344,51495,53678,53206,,,,
Portugal,Operator Holding Account,"NAVIGATOR PULP SETÚBAL, S.A.",508933560,2005-11-25,open,Apartado 55,2901-861,Setúbal,33995,33995,33995,35646,35646,35646,35646,35646,0,0,0,0,0,0,0,0,34732,31215,31814,31732,41082,48184,38545,31421,39695,44627,51578,51499,,,,,34732,31215,63628,31732,41082,48184,38545,31421,39695,44627,51578,51499,,,,
Portugal,Operator Holding Account,"Portucel - Empresa Produtora de Pasta e Papel, S.A",503025798,2005-11-25,closed,"Apartado 55, Mitrena",2901-861,Setúbal,6249,6249,6249,,,,,,,,,,,,,,1894,4125,3475,,Not Reported,Not Reported,,,,,,,,,,,1894,4125,6950,,,,,,,,,,,,,
Portugal,Operator Holding Account,"NAVIGATOR PULP CACIA, S.A.",508933471,2005-11-25,open,"Instalações da Portucel, Rua Bombeiros da Celulose",3800-536,CACIA - Aveiro,31237,31237,31237,32608,32608,32608,32608,32608,30273,29747,29215,28677,28134,27585,27030,26473,26470,35948,37827,21716,23736,21083,20786,34010,31409,37225,48697,51767,,,,,26470,35948,37827,21716,23736,21083,20786,34010,31409,37225,48697,51767,,,,
Portugal,Operator Holding Account,"ENERPULP - Cogeração Energética de Pasta, S.A.",504650963,2005-11-25,closed,"Pólo Industrial da Portucel, Mitrena",2901-861,Setúbal,34248,34248,34248,65832,65832,65832,65832,65832,,,,,,,,,18381,18703,17249,15563,17892,4786,4150,2418,,,,,,,,,18381,18703,34498,15563,17892,4786,4150,2418,,,,,,,,
Portugal,Operator Holding Account,"ENERPULP - Cogeração Energética de Pasta, S.A.",504650963,2005-11-25,closed,"Pólo Industrial da Portucel, Mitrena",2901-861,Setúbal,103047,103047,103047,85807,85807,85807,85807,85807,,,,,,,,,24655,19921,26755,30713,24876,43305,32651,17863,,,,,,,,,24655,19921,53510,30713,24876,43305,32651,17863,,,,,,,,
Portugal,Operator Holding Account,"ENERPULP - Cogeração Energética de Pasta, S.A.",504650963,2005-11-25,closed,"Pólo Industrial da Portucel, Mitrena",2901-861,Setúbal,135468,135468,135468,98590,98590,98590,98590,98590,,,,,,,,,42881,33063,20957,33604,33767,23676,15175,10238,,,,,,,,,42881,33063,41914,33604,33767,23676,15175,10238,,,,,,,,
Portugal,Operator Holding Account,"PortucelSoporcel Cogeração de Energia, S.A.",508101174,2005-11-25,open,"Pólo Industrial da Portucel, Mitrena",2901-861,Setúbal,166000,166000,166000,156099,156099,156099,156099,156099,,,,,,,,,104708,81288,79812,64524,53146,39386,22021,25473,3358,5451,5974,3449,,,,,104708,81288,159624,64524,53146,39386,22021,25473,3358,5451,5974,3449,,,,
Portugal,Operator Holding Account,RAR-Cogeração Unipessoal Lda,504013033,2005-11-25,open,"Rua Manuel Pinto de Azevedo, n.º 272",4100-320,Porto,51117,51117,51117,50577,50577,50577,50577,50577,25205,24766,24328,23889,23451,23012,22574,22135,39533,41008,43643,43282,42873,39243,37954,35244,38551,26597,39678,54359,,,,,39533,41008,43643,43282,42873,39243,37954,35244,38551,26597,39678,54359,,,,
Portugal,Operator Holding Account,TMG - Acabamentos Têxteis,500189773,2005-11-25,open,Lugar de Oleiros - Ronfe,4801-909,Guimarães,27259,27259,27259,17197,17197,17197,17197,17197,6009,11360,11156,10951,10744,10534,10322,10110,15662,16160,12962,10838,8583,8214,7610,5417,7138,9744,8343,10345,,,,,15662,16160,12962,10916,8583,8214,7610,5417,7138,9744,8343,10345,,,,
Portugal,Operator Holding Account,"CPK - Companhia Produtora de Papel Kraftsack, S.A.",504606433,2005-11-25,closed,Rua Bombeiros da Celulose,3800,Cacia,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,Not Reported,,Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Operator Holding Account,Cerâmica Torreense,500331014,2005-11-25,open,"Rua da Fábrica - Outeiro da Cabeça, n.º  1",2565-601,Outeiro da Cabeça,13891,13891,13891,13367,13367,13367,13367,13367,7638,7506,7371,7236,5054,4956,4856,4756,5418,4849,6179,4588,2341,3299,2676,1789,5636,4358,4552,1872,,,,,5418,4849,6179,4588,2341,3299,2676,1789,5636,4358,4552,1872,,,,
Portugal,Operator Holding Account,Cerâmica Torreense,500331014,2005-11-25,closed,"Rua da Fábrica - Outeiro da Cabeça, n.º  1",2565-601,Outeiro da Cabeça,2421,2421,2421,,,,,,,,,,,,,,2831,2647,2841,,Not Reported,Not Reported,,,,,,,,,,,2831,2647,2841,,,,,,,,,,,,,
Portugal,Operator Holding Account,Cerâmica Torreense,500331014,2005-11-25,open,"Rua da Fábrica - Outeiro da Cabeça, n.º  1",2565-601,Outeiro da Cabeça,7576,7576,7576,9771,10721,11339,11339,11339,14827,14569,14309,14046,13779,13511,13239,12965,7248,6616,1071,7790,7689,6666,6675,4136,11369,6059,5465,6328,,,,,7248,6616,1071,7790,7689,6666,6675,4136,11369,6059,5465,6328,,,,
Portugal,Operator Holding Account,"AP - AMONÍACO DE PORTUGAL, SA",506738744,2005-11-25,closed,Parque Empresarial da Quimiparque,2836,Lavradio,116854,116854,116854,120846,0,0,0,0,,,,,,,,,105860,83512,118096,88967,18,0,,,,,,,,,,,105860,83512,118096,88967,18,,,,,,,,,,,
Portugal,Operator Holding Account,"SOLCER - Empresa Cerâmica, SA",500679770,2005-11-25,closed,"Vila Verde, Apartado 20",3770,Oliveira do BAirro,9695,9695,9695,,,,,,,,,,,,,,8146,9765,10438,,Not Reported,Not Reported,,,,,,,,,,,8146,9765,10438,,,,,,,,,,,,,
Portugal,Operator Holding Account,"Cerâmica da Floresta, Lda",500330948,2005-11-25,closed,Quinta da Floresta - Outeiro da Cabeça - Pêro Moniz,2550-479,Pêro Moniz - Cadaval,6194,6194,6194,5924,5924,5924,5924,5924,6112,0,0,0,0,0,0,0,3922,4573,5344,5113,3643,2587,3839,2360,1417,0,Not Reported,,,,,,3922,4573,5344,5113,3643,2587,3839,2360,1417,,,,,,,
Portugal,Operator Holding Account,"Recer - Indústria de Revestimentos Ceramicos, S. A",500707472,2005-11-25,closed,"Vila Verde, Apartado 20",3770,Oliveira do Bairro,29821,29821,29821,,,,,,,,,,,,,,29717,25964,24602,,Not Reported,Not Reported,,,,,,,,,,,29717,25964,24602,,,,,,,,,,,,,
Portugal,Operator Holding Account,"Pronicol, Produtos Lácteos, S. A.",512035377,2005-11-25,open,"Quinta de S. Luís, n.º 44, S. Bento",9700-224,Angra do Heroísmo,15830,15830,15830,24930,24930,24930,24930,24930,8949,8931,8459,7999,7547,7105,6673,6253,11045,13346,13008,13299,13647,13428,12573,13223,13123,12761,12428,10734,,,,,11045,13346,13008,13299,13647,13428,12573,13223,13123,12761,12428,10734,,,,
Portugal,Operator Holding Account,"Soladrilho, SA",501139435,2005-11-25,open,"Estrada da Barroca, Apartado 54",2334-909,Entroncamento,6601,6601,6601,13052,13052,13052,13052,13052,7229,9839,9663,9485,6718,6588,6455,6322,5347,6747,10223,10679,9318,8885,10021,8762,10269,11744,11456,9652,,,,,5347,6747,10223,10679,9318,8885,10021,8762,10269,11744,11456,9652,,,,
Portugal,Operator Holding Account,"Barbosa Coimbra, S.A",500041601,2005-11-25,closed,Estrela d'Alva,3360,São Paio de Mondego,4225,4225,4225,0,0,0,0,0,,,,,,,,,3795,3642,3855,0,0,0,0,,,,,,,,,,3795,3642,3855,,,,,,,,,,,,,
Portugal,Operator Holding Account,"Turbogás - Produtora Energética, S.A",503310026,2005-11-25,open,"Central de Ciclo Combinado da Tapada do Outeiro, Broalhos",4515-430,Medas,2600858,2600858,2600858,1198020,1198020,1198020,1198020,1198020,,,,,,,,,2365882,1544540,1685962,1934702,1805909,1886309,1735044,1007887,250434,368045,792808,1004750,,,,,2365882,1544540,1685962,1934702,1805909,1886309,1735044,1007887,250434,368045,792808,1004750,,,,
Portugal,Operator Holding Account,"Cerâmica Moderna do Olival, Lda",500061920,2005-11-25,open,"Rua de S. Domingos, n.º 5, Apartado 4",2436-907,Olival VNO,1752,1752,1752,1424,1424,1424,1424,1424,3310,3252,3194,3136,3076,3016,2956,2894,612,74,0,0,186,388,386,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,,,,,612,74,,,186,388,,,,,,,,,,
Portugal,Operator Holding Account,"Tijolar - Cerâmica do Olival, S.A",500061980,2005-11-25,open,"Rua da Paz, n.º 20, Olival",2435-424,Olival VNO,6161,6161,6161,4276,4276,4276,4276,4276,5305,0,0,0,0,0,0,0,57,0,31,0,0,6,0,0,1664,Not Reported,Not Reported,Not Reported,,,,,57,,31,,,6,,,1664,,,,,,,
Portugal,Operator Holding Account,"Certomar - Cerâmicas, Lda",507783778,2005-11-25,closed,Portela - S.Pedro - Tomar,2300-182,Tomar,3365,3365,3365,,,,,,,,,,,,,,1,4,0,,Not Reported,Not Reported,,,,,,,,,,,1,4,1,,,,,,,,,,,,,
Portugal,Operator Holding Account,"Cerâmica Avelar, S.A.",500941262,2005-11-25,open,"Estrada Nacional, n.º 8",2565-646,Ramalhal,12796,12796,12796,15671,15671,15671,15671,15671,0,0,0,0,0,0,0,0,14884,13659,19827,15524,10828,9039,5609,0,Not Reported,Not Reported,Not Reported,Not Reported,,,,,14884,13659,19827,15524,10828,9039,5609,,,,,,,,,
Portugal,Operator Holding Account,"Prélis Cerâmica, Lda",500145938,2005-11-25,open,Alcogulhe de Cima,2405,Alcogulhe de Cima,8093,8093,8093,7793,7793,7793,7793,7793,12432,12216,11997,11777,11554,11328,11100,10871,6312,6012,6119,5092,1113,4,1,0,4739,4187,3956,4063,,,,,6312,6012,9155,5092,1113,4,1,1,4739,4187,3956,4063,,,,
Portugal,Operator Holding Account,"LUSOCERAM - Empreendimentos Cerâmicos, S.A.",500171262,2005-11-25,closed,Zona Industrial de Bustos,3770,Bustos,4345,4345,4345,,,,,,,,,,,,,,2767,3244,4405,,Not Reported,Not Reported,,,,,,,,,,,2767,3244,4405,,,,,,,,,,,,,
Portugal,Operator Holding Account,Nergal - Nova Cerâmica Algarvia Lda.,500201250,2005-11-25,closed,Morgado da Tôr,8100-394,Loulé,6144,6144,6144,5116,5116,5116,5116,5116,0,0,0,0,0,0,0,0,2759,2495,0,1,0,1,1,0,0,Not Reported,Not Reported,Not Reported,,,,,2759,2495,,1,,1,1,,,,,,,,,
Portugal,Operator Holding Account,"Soporcel - Sociedade Portuguesa de Papel, SA",500636630,2005-11-25,open,Apartado 5,3081-851,Figueira da Foz,53742,53742,53742,56467,56467,56467,56467,56467,250323,245975,241576,237131,232638,228102,223509,218900,48906,44063,45904,44772,46396,40955,19476,1736,1787,1764,1738,89210,,,,,48906,44063,45904,44772,46396,40955,19476,1736,1787,1764,1738,89210,,,,
