Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Slovakia,Operator Holding Account,"Bytkomfort, s.r.o.",36555193,2008-01-01,open,SNP 9,94002,Nové Zámky,43186,43186,43185,35427,35427,35427,35427,35427,21931,18145,16040,14039,12102,10227,8412,6663,36106,34747,32275,32414,31867,33840,28572,25627,23010,19853,19846,20589,,,,,4920,65933,32275,32414,31867,33840,28572,25627,23010,19853,19846,20589,,,,
Slovakia,Operator Holding Account,"Calmit, spol. s r.o.",36172162,2008-01-01,closed,Gaštanová 15,81104,Bratislava,22924,22924,22924,28386,28386,28386,28386,28386,0,0,0,0,0,0,0,0,33455,4722,7735,16989,2681,4355,0,0,0,0,0,0,,,,,10531,27646,7735,16989,2681,4355,,,,,,,,,,
Slovakia,Operator Holding Account,"Calmit, spol. s r.o.",36172162,2008-01-01,open,Gaštanová 15,81104,Bratislava,110165,110165,110165,128655,128655,128655,128655,128655,71228,34996,68739,67475,66196,64905,63598,62287,83121,75940,62210,85902,47340,44243,40227,49065,34096,62739,60086,48306,,,,,,159061,62210,85902,47340,44243,40227,49065,34096,62739,60086,48306,,,,
Slovakia,Operator Holding Account,"Calmit, spol. s r.o.",36172162,2008-01-01,open,Gaštanová 15,81104,Bratislava,92317,92317,92317,109995,109995,224028,224028,224028,91191,89607,88005,86386,84749,83096,81423,79744,80387,76948,90011,119301,101271,119731,96936,110548,98187,97382,89290,100200,,,,,,157335,90011,119301,101271,119731,96936,110548,98187,97382,89290,100200,,,,
Slovakia,Operator Holding Account,"Carmeuse Slovakia, s.r.o.",36198749,2008-01-01,open,Slavec 179,04911,Slavec,509277,509277,509276,244825,244825,244825,244825,721925,406953,399885,392733,385507,378204,370828,363361,355869,417569,480063,469154,504122,424171,507238,458377,451374,424616,393619,402664,386010,,,,,,897632,469154,504122,424171,507238,458377,451374,424616,393619,402664,386010,,,,
Slovakia,Operator Holding Account,"Carmeuse Slovakia, s.r.o.",36198749,2008-01-01,open,Slavec 179,04911,Slavec,200177,200177,200177,721925,721925,721925,721925,244825,192914,189563,186173,182747,179285,175789,172249,168697,214139,200900,207483,201117,180298,181382,211107,172249,114441,131109,115275,105930,,,,,13962,401077,207483,201117,180298,181382,211107,172249,114441,131109,115275,105930,,,,
Slovakia,Operator Holding Account,CEMMAC a.s.,31412106,2008-01-01,open,Cementárska 14/14,91442,Horné Srnie,376444,376444,376444,386725,386725,386725,386725,386725,299135,293939,288682,283371,278002,272581,267092,261585,352460,352701,354888,355008,331114,323249,331596,285163,314749,332244,299683,291400,,,,,,705161,354888,355008,331114,323249,331596,285163,314749,332244,299683,291400,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,6397,6397,6396,5680,5680,5680,5680,5680,4042,0,0,0,0,0,0,0,5974,5386,4759,4659,4560,4788,4164,3940,4095,,,,,,,,,11360,4759,4659,4560,4788,4164,3940,4095,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,6425,6425,6424,5663,5663,5663,5663,5663,4054,0,0,0,0,0,0,0,5889,5438,4694,4567,4374,4437,3841,3663,3945,,,,,,,,,11327,4694,4567,4374,4437,3841,3663,3945,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,5744,5744,5744,5072,5072,5072,5072,5072,3471,0,0,0,0,0,0,0,5293,4851,4266,4133,4011,4262,3661,3406,3594,,,,,,,,,10144,4266,4133,4011,4262,3661,3406,3594,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,4117,4116,4116,3316,3316,3316,3316,3316,2296,0,0,0,0,0,0,0,3499,3132,2854,2736,2651,2691,2351,2268,2269,,,,,,,,,6631,2854,2736,2651,2691,2351,2268,2269,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,6743,6743,6742,4473,4473,4473,4473,4473,,,,,,,,,4585,4360,3283,2994,3185,3200,2709,2378,,,,,,,,,,8945,3283,2994,3185,3200,2709,2378,,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,5124,5124,5124,635,635,635,635,635,,,,,,,,,890,380,193,122,258,255,57,14,,,,,,,,,0,1270,193,122,258,255,57,14,,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,7251,7251,7251,6106,6106,6106,6106,6106,4384,0,0,0,0,0,0,0,6358,5854,5094,5000,4856,4903,4063,3797,3972,,,,,,,,,12212,5094,5000,4856,4903,4063,3797,3972,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,4715,4715,4715,4756,4756,4756,4756,4756,,,,,,,,,5219,4293,3631,3402,3427,3330,2997,3145,,,,,,,,,504,9008,3631,3402,3427,3330,2997,3145,,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,6788,6788,6788,6402,6402,6402,6402,6402,4590,0,0,0,0,0,0,0,6646,6159,5436,5282,5044,5213,4441,4185,4462,,,,,,,,,12805,5436,5282,5044,5213,4441,4185,4462,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,5520,5520,5520,5186,5186,5186,5186,5186,3794,0,0,0,0,0,0,0,5372,5001,4457,4605,4698,4977,4276,4122,4297,,,,,,,,,10373,4457,4605,4698,4977,4276,4122,4297,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,7881,7880,7880,6857,6857,6857,6857,6857,7826,0,0,0,0,0,0,0,7317,6376,5726,5538,5146,5322,4607,4625,7679,,,,,,,,,13693,5726,5538,5146,5322,4607,4625,7679,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,4964,4964,4963,4406,4406,4406,4406,4406,,,,,,,,,4551,4260,3857,3916,3562,4007,3674,3096,,,,,,,,,,8811,3857,3916,3562,4007,3674,3096,,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,6479,6478,6478,6113,6113,6113,6113,6113,7417,0,0,0,0,0,0,0,6415,5810,5037,4885,5010,4907,4107,4325,7838,,,,,,,,,12225,5037,4885,5010,4907,4107,4325,7838,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,7865,7865,7864,6918,6918,6918,6918,6918,8657,0,0,0,0,0,0,0,7049,6787,5735,5688,5776,5817,5246,5110,8928,,,,,,,,,13836,5735,5688,5776,5817,5246,5110,8928,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,13556,13556,13556,12375,12375,12375,12375,12375,9697,8678,0,0,0,0,0,0,12696,12053,10797,10466,9966,10496,8842,8215,8348,10055,,,,,,,8462,16287,10797,10466,9966,10496,8842,8215,8348,10055,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,7396,7395,7395,5889,5889,5889,5889,5889,7507,6718,0,0,0,0,0,0,5968,5810,5080,4932,4473,4654,3888,3426,6720,6926,,,,,,,,11778,5080,4932,4473,4654,3888,3426,6720,6926,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,7165,7165,7165,5979,5979,5979,5979,5979,4182,0,0,0,0,0,0,0,6288,5669,4927,4800,4648,4785,4132,3943,4154,,,,,,,,,11957,4927,4800,4648,4785,4132,3943,4154,,,,,,,
