Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Norway,Operator Holding Account,Pelagia AS,989094823,2009-04-02,open,Postboks 444,5805,BERGEN,,,,11268,11268,11268,11268,11268,12887,12663,12437,12208,11977,11743,11507,11269,,,,11519,15828,22614,12614,12667,17143,18346,20792,19035,,,,,,,,11519,15828,22614,12614,12667,17143,18346,20792,19035,,,,
Norway,Operator Holding Account,Esso Norge AS,914803802,2009-04-02,open,Postboks 2001,3103,Tønsberg,,,,333209,333209,333209,333209,333209,356800,350603,344333,337997,331593,325127,318581,312011,,,,356483,349129,329645,327370,296194,336230,332318,329479,259157,,,,,,,,356483,349129,329645,327370,296194,334985,331085,328291,259157,,,,
Norway,Operator Holding Account,Point Resources AS,998852722,2009-04-02,open,Postboks 60,4064,Stavanger,,,,0,0,0,0,0,32579,32013,31440,30862,30277,29687,29089,28489,,,,163047,148107,124560,135274,131945,159665,137027,148542,136766,,,,,,,,163047,148107,124560,135274,131945,159470,137222,148542,136766,,,,
Norway,Operator Holding Account,Point Resources AS,998852722,2009-04-02,open,Postboks 60,4064,Stavanger,,,,0,0,0,0,0,58640,57621,56591,55550,54498,53435,52359,51279,,,,180013,166171,171264,166427,160969,171313,180974,159662,156463,,,,,,,,180013,166171,171264,166427,160969,171313,180974,159662,156463,,,,
Norway,Operator Holding Account,Oslofjord Varme AS,979994265,2009-04-02,open,Brynsveien 2,1338,Sandvika,,,,1641,1641,1641,1641,1641,9984,8936,7914,6925,5966,5037,4139,3274,,,,1891,1686,3056,1033,1550,1104,796,789,1731,,,,,,,,1891,1686,3056,1033,1550,1104,796,789,1731,,,,
Norway,Operator Holding Account,Oslofjord Varme AS,979994265,2009-04-02,open,Brynsveien 2,1338,Sandvika,,,,1538,1538,1538,1538,1538,10899,9754,8639,7559,6511,5498,4518,3574,,,,768,1693,5548,4438,1759,509,210,295,677,,,,,,,,768,1693,5548,4438,1759,509,210,295,677,,,,
Norway,Operator Holding Account,Oslofjord Varme AS,979994265,2009-04-02,open,Brynsveien 2,1338,Sandvika,,,,2869,2869,2869,2869,2869,4011,3590,3180,2782,2397,2024,1662,1316,,,,3032,1373,3592,2482,1106,1283,361,341,217,,,,,,,,3032,1373,3592,2482,1106,1283,361,341,217,,,,
Norway,Operator Holding Account,FREVAR KF,979952171,2009-04-02,open,Postboks 1430,1602,Fredrikstad,,,,274,274,274,274,274,31038,27777,24603,21526,18544,15659,12866,10179,,,,808,794,915,1441,785,49862,49015,48815,46871,,,,,,,,808,794,915,1441,785,49862,49015,48815,46871,,,,
Norway,Operator Holding Account,Celsa Armeringsstål AS,953591421,2009-04-02,open,Postboks 500,8601,Mo i Rana,,,,73118,73118,73118,73118,73118,73186,71914,70628,69329,68015,66688,65346,63998,,,,69959,74619,78194,88863,100635,91921,100149,96656,91511,,,,,,,,69959,74619,78194,88863,100635,91921,100149,96648,91519,,,,
Norway,Operator Holding Account,Gasnor AS,955431685,2009-04-02,open,Postboks 63,4299,Avaldsnes,,,,10042,10042,10042,10042,10042,9803,9632,9459,9286,9110,8932,8752,8572,,,,9603,15101,8214,7766,11619,7873,6921,4625,4478,,,,,,,,9603,15101,8214,7766,11619,7873,6921,4625,4478,,,,
