Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Spain,Operator Holding Account,"CERÁMICA ZARATÁN, S.A.",A47019757,2005-06-09,open,"CAMINO DE VALDEZOÑO, S/N",47012,VALLADOLID (Ávila),17864,17864,17864,18145,18145,18145,18145,18145,11968,6890,11551,8345,6516,6389,6260,6132,14980,18508,18765,8044,11072,8139,7435,6704,3530,4461,5902,5300,,,,,,33488,18765,8044,11072,8139,7435,6704,3530,4461,5902,5300,,,,
Spain,Operator Holding Account,"Financiera Maderera, S.A.",A15005499,2005-06-09,closed,Formarís s/n,15884,Santiago de Compostela (A Coruña),26131,26131,26131,22545,22545,22545,22545,22545,,,,,,,,,21530,24228,25896,20251,25992,36634,41793,28577,,,,,,,,,21530,24228,25896,20251,25992,36634,41793,28577,,,,,,,,
Spain,Operator Holding Account,"Repsol Petróleo, S.A.",A28047223,2005-06-09,open,Méndez Álvaro 44,28045,Madrid (Madrid),2653107,2653107,2653107,3088124,3109605,3131309,3153238,3175395,1321941,1393415,1367772,1203615,1180117,1156423,1132470,1108464,3118691,3086896,2873915,2567529,2162486,1885120,1952265,1651346,1588489,1523132,1486839,1536570,,,,,3118691,3086896,2873915,2567529,2162486,1885120,1952265,1651346,1588489,1523132,1486839,1536570,,,,
Spain,Operator Holding Account,Cementos Tudela Veguín SA,A74314980,2005-06-09,open,"C/ ARGÜELLES, 25",33003,OVIEDO (Asturias),831269,831269,831269,799182,799182,799182,799182,799182,692550,680521,668350,656053,643623,631073,618365,605614,772157,824817,843135,707643,754100,719664,688395,686371,706472,688442,730746,696429,,,,,772157,824817,843135,707643,754100,719664,688395,686371,706472,688442,730746,696429,,,,
Spain,Operator Holding Account,"Cerámica La Minilla, S.L.",277,2005-06-09,closed,"Ctra. de Alcala de Henares, Km. 17,800",19174,Torrejón del Rey (Guadalajara),4683,4683,4683,8369,8369,0,0,0,,,,,,,,,9277,6887,6917,3851,Not Reported,Not Reported,,,,,,,,,,,4594,11570,6917,3851,,,,,,,,,,,,
Spain,Operator Holding Account,"Cerámicas Millas Hijos, S.A.",A45036241,2005-06-09,open,"Calle Castillo, 65",45400,Mora (Toledo),49208,49208,49208,42811,42811,42811,42811,42811,22166,21781,21392,20998,20600,20199,19791,19384,40545,42265,40632,26192,14685,15303,13813,12318,18877,19457,21365,20290,,,,,40545,42265,40632,26192,14685,15303,13813,12318,18877,19457,21365,20290,,,,
Spain,Operator Holding Account,Cerámicas Valeras S.A.,A13057427,2005-06-09,closed,C/ Canalejas s/n,13730,Santa Cruz de Mudela (Ciudad Real),1056,1056,1056,,,,,,,,,,,,,,1061,454,0,0,,Not Reported,,,,,,,,,,,4,1511,,,,,,,,,,,,,,
Spain,Operator Holding Account,"Hermanos Ortiz Bravo, S.A.",A45036324,2005-06-09,open,"Vereda del Prado, s/n",45290,Pantoja (Toledo),32571,32571,13758,13478,13478,13478,13478,13478,,,,,,,,,32313,14305,13248,10600,3448,324,622,130,Excluded,Excluded,Excluded,Excluded,,,,,32313,14305,13248,10600,3448,324,622,130,,,,,,,,
Spain,Operator Holding Account,"COGENERADORA BURGALESA, S.L.",B09312109,2005-06-09,open,"Gremio Boneteros, nº 48",07009,Palma de Mallorca,49050,49050,49050,44540,44540,44540,44540,44540,15247,13644,12088,5290,4560,3854,3170,2511,45689,44555,46690,46119,48794,54021,49563,12972,38548,34326,27358,28544,,,,,45689,44555,46690,46119,48794,54021,49563,12972,38548,34326,27358,28544,,,,
Spain,Operator Holding Account,"Ladrillería ROSO, S.L.",B28192102,2005-06-09,open,"C/Covarrubias, nº 22, 5º derecha",28010,Madrid,13877,13877,13877,11217,11217,15674,13542,13542,,,,,,,,,11166,11456,11107,6901,3247,3835,4166,3275,Excluded,Excluded,Excluded,Excluded,,,,,11166,11456,11107,6901,3247,3835,4166,3275,,,,,,,,
