Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,20296,17674,17674,17674,0,0,,,,,,,,,,,13554,10510,12109,5331,,,,,,,,,,,,,13554,10510,12109,5331,,,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,9876,8356,8355,8355,0,0,,,,,,,,,,,1548,2715,2267,0,,,,,,,,,,,,,1548,2715,2267,,,,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,9514,8034,8034,8034,8034,8033,,,,,,,,,,,10418,10241,10731,14604,16268,15326,,,,,,,,,,,10418,10241,10731,14604,16268,15326,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2011-06-08,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,565766,497850,497849,497849,497849,497849,,,,,,,,,,,643781,531115,316540,130492,14523,6147,,,,,,,,,,,643781,531115,316540,130492,14523,6147,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,15649,13624,13624,13624,13624,13624,,,,,,,,,,,11266,10683,10958,11393,2220,Not Reported,,,,,,,,,,,11266,10683,10958,11393,2220,,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,36281,31878,31878,31878,31878,31877,,,,,,,,,,,15185,11533,11285,12359,13505,9243,,,,,,,,,,,15185,11533,11285,0,25864,9243,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,28595,25226,25226,25225,25225,25225,12669,12449,12227,12002,11774,11545,11312,11079,,,13201,10249,10069,10730,13536,23783,32911,28492,22543,6503,,,,,,,13201,10249,10069,0,24266,23783,32911,28492,22543,6503,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,2642,2575,2575,2575,2575,2574,,,,,,,,,,,7212,6948,10851,12512,8128,6746,,,,,,,,,,,7212,6948,10851,12512,8128,6746,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,28718,25214,25214,25214,25214,25214,32845,32275,31698,31114,15263,14965,14664,14361,,,35116,31084,31527,28135,28420,37251,38064,31255,21165,9949,,,,,,,35116,31084,31527,28135,28420,37251,38064,31255,21165,9949,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,35590,31291,31291,31291,31291,31291,31540,30992,20952,20566,20177,19783,19385,18986,,,55994,40801,39893,45663,34921,20486,12630,8419,8897,8693,,,,,,,55994,40801,39893,45663,34921,20486,12630,8419,8897,8693,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,45245,39686,39686,39686,39686,39685,33055,32481,11370,17826,17488,17147,16802,16455,,,32948,33296,23600,26007,31398,37154,35832,40953,45544,46637,,,,,,,32948,33296,23600,26007,31398,37154,35832,40953,45544,46637,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,7280,6415,6414,6414,6414,6414,,,,,,,,,,,5507,5550,0,Not Reported,,,,,,,,,,,,,5507,5550,,,,,,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,19027,16068,16067,16067,16067,16067,10813,10625,10435,10243,10049,9853,9655,9456,,,14458,19864,20278,18944,15973,14292,3153,,,,,,,,,,14458,19864,20278,18944,15973,14292,3153,,,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,closed,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,29172,23835,23835,23835,23834,23834,10957,21532,10574,0,0,0,0,0,,,24345,17596,16058,16569,13778,12179,14696,14417,3279,,,,,,,,24345,17596,16058,16569,13778,12179,14696,14417,3279,,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,1694055,1847880,1847879,1847878,1847878,1847877,0,0,0,0,0,0,0,0,,,1826514,1536295,738419,356281,82536,27479,0,0,16677,65,,,,,,,1826514,1536295,738419,356281,82536,27479,,,16677,65,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2008-04-18,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,0,0,1672607,1620540,1620540,1620539,1620539,1620539,514651,505712,496668,487530,478293,468966,459523,450047,,,1041774,1217884,1174658,1121194,1171953,1018289,1191040,1015444,1011926,985749,,,,,,,1041774,1217884,1174658,1121194,1171953,1018289,1191040,1015444,1011926,985749,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2009-06-11,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,,,,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,Not Reported,Not Reported,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,,,,,,
