Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Sweden,Operator Holding Account,AB Fortum Värme samägt med Stockholms Stad,556016-9095,2005-03-04,closed,Lidingövägen 115,11547,Stockholm,6898,6898,6898,0,0,0,0,0,1331,1191,0,0,0,0,0,0,5,106,1,20,20,5,0,7,0,0,,,,,,,5,106,1,20,20,5,,7,,,,,,,,
Sweden,Operator Holding Account,AB Fortum Värme samägt med Stockholms Stad,556016-9095,2005-03-04,open,Lidingövägen 115,11547,Stockholm,1060,1060,1060,0,0,0,0,0,131836,117981,104519,91482,78855,66638,54815,43417,881,653,1098,732,568,793,1502,627,444,793,854,1016,,,,,881,653,1098,732,568,793,1502,627,444,793,854,1016,,,,
Sweden,Operator Holding Account,Gotlands Energi AB,556008-2157,2005-03-04,open,Box 1095,62121,VISBY,224,224,224,0,0,0,0,0,805,720,638,558,481,406,333,264,226,413,2,1,0,0,0,3,0,8,5,0,,,,,226,413,2,1,,,,3,,8,5,,,,,
Sweden,Operator Holding Account,Finspångs Tekniska Verk AB,556045-8811,2005-03-04,open,Norrköpingsvägen 32,61280,FINSPÅNG,14,14,14,0,0,0,0,0,100,89,20,0,60,50,41,33,45,4,11,9,10,440,155,121,94,24,12,135,,,,,45,4,11,9,10,440,155,121,94,24,12,135,,,,
Sweden,Operator Holding Account,Gotlands Energi AB,556008-2157,2005-03-04,open,Box 1095,62121,VISBY,180,180,180,0,0,0,0,0,1053,942,834,731,629,531,436,345,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Sweden,Operator Holding Account,Gotlands Energi AB,556008-2157,2005-03-04,closed,Box 1095,62121,VISBY,1842,1842,1842,1665,1665,1665,1665,1665,1216,1076,0,0,0,0,0,0,1862,1648,2473,1270,2409,2040,1229,1006,1564,1206,,,,,,,1862,1648,2473,1270,2409,2040,1229,1006,1564,1206,,,,,,
Sweden,Operator Holding Account,Gotlands Energi AB,556008-2157,2005-03-04,open,Box 1095,62121,VISBY,333,333,333,0,0,0,0,0,926,828,733,642,553,466,384,303,724,1871,0,0,0,180,0,0,0,0,0,0,,,,,724,1871,,,,180,,,,,,,,,,
Sweden,Operator Holding Account,Laxåvärme AB,556470-8187,2005-03-04,open,Box 99,69522,LAXÅ,625,625,625,0,0,0,0,0,6493,5811,5147,4503,3879,3276,2691,2129,453,491,267,84,362,1195,490,329,342,80,63,128,,,,,453,491,267,84,362,1195,490,329,342,80,63,128,,,,
Sweden,Operator Holding Account,E.ON Värme Sverige AB,556146-1814,2005-03-04,open,E.ON Värme Sverige AB,20509,MALMÖ,11890,11890,11890,0,0,0,0,0,18562,16612,7357,6437,2773,2341,1924,1522,5992,3691,844,416,236,3958,7371,1101,741,509,20,0,,,,,5992,3691,1688,416,236,3958,7371,1101,741,509,20,,,,,
Sweden,Operator Holding Account,Lidköpings Värmeverk AB,556188-7125,2005-03-04,open,Sjöhagsgatan 8,53140,LIDKÖPING,9049,9049,9049,0,0,0,0,0,66297,60009,53897,47974,42232,36671,31287,26091,608,425,543,81,141,130,121,192,49580,49108,51108,49306,,,,,608,425,543,81,141,130,121,192,49580,49108,51108,49306,,,,
