Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Estonia,Operator Holding Account,AS Utilitas Eesti,Punane 36,Tallinn,7504,7730,7961,6545,6545,6545,6559,6552,,,,,,,,,7128,6545,6457,6074,6114,6992,5755,6162,Excluded,Not Reported,Not Reported,,,,,,7128,6545,6457,6074,6114,6992,5755,6162,,,,,,,,
Estonia,Operator Holding Account,AS Utilitas Eesti,Punane 36,Tallinn,4808,5049,5301,4195,4195,4195,6063,5129,,,,,,,,,4472,4195,3916,5666,7165,5358,3553,4678,Excluded,Not Reported,Not Reported,,,,,,4472,4195,3916,5666,7165,5358,3553,4678,,,,,,,,
Estonia,Operator Holding Account,AS Utilitas Eesti,Punane 36,Tallinn,14566,14840,15122,8763,8763,8763,247,4505,9047,8096,7172,6275,5406,4564,3750,2967,6802,8763,4115,1786,2487,3075,1602,1328,847,875,348,950,,,,,6802,8763,4115,1786,2487,3075,1602,1328,847,875,348,950,,,,
Estonia,Operator Holding Account,AS Utilitas Tallinn,Punane 36,Tallinn,186500,192100,197900,94244,94244,94244,92342,93293,80537,72074,63839,55855,48117,40629,33384,26410,88639,94244,84533,86660,96282,109401,91766,114771,98729,90661,85847,74614,,,,,88639,94244,84533,86660,96282,109401,91766,114771,98729,90661,85847,74614,,,,
Estonia,Operator Holding Account,AS Utilitas Tallinn,Punane 36,Tallinn,136967,141567,146367,82082,82082,82082,78738,80410,70417,61553,54520,47702,41093,34698,28511,22554,94415,82082,90438,74757,68837,71931,57650,92311,66415,72179,56714,57398,,,,,94415,82082,90438,74757,68837,71931,57650,92311,66415,72179,56714,57398,,,,
Estonia,Operator Holding Account,AS Utilitas Tallinn,Punane 36,Tallinn,98058,98203,98353,2995,2995,2995,14531,8763,7128,6379,5650,4943,4259,3596,2955,2337,2181,2995,23814,4566,8138,10883,9248,24125,5146,4203,3433,3533,,,,,2181,2995,23814,4566,8138,10883,9248,24125,5146,4203,3433,3533,,,,
Estonia,Operator Holding Account,DANPOWER EESTI AS,Danpower Eesti AS,Võru,28912,28912,28912,2373,2373,2373,1547,1960,10696,9573,8479,7418,6390,5396,4434,3508,7007,2373,1000,322,368,692,440,622,646,370,159,55,,,,,7007,2373,1000,322,368,692,440,622,646,370,159,55,,,,
Estonia,Operator Holding Account,EESTI ENERGIA AS,Lelle 22,Tallinn,,,,,,,,,,,,,,,,,,,,,,,,,467858,593400,732132,651704,,,,,,,,,,,,,467858,593400,732132,651704,,,,
Estonia,Operator Holding Account,ELERING AS,Kadaka tee 42,Tallinn,,,,,,,,,,,,,,,,,,,,,,,,,,10397,9869,8182,,,,,,,,,,,,,,10397,9869,8182,,,,
Estonia,Operator Holding Account,ENEFIT ENERGIATOOTMINE AS,40107 Ida-Virumaa,Auvere küla,3570345,3795271,4035155,1454336,1454336,1454336,2612394,2049855,172920,146669,123204,102446,84277,68585,58772,50768,2253587,1551856,2725047,1971239,1263972,2859684,3723698,1435324,2208958,2236011,1408713,1626481,,,,,2253587,,4276903,1971239,1263972,2859684,3723698,1435324,2208958,2236011,1408713,1626481,,,,
Estonia,Operator Holding Account,ENEFIT ENERGIATOOTMINE AS,40107 Ida-Virumaa,Auvere küla,9521554,10500912,12861543,7214504,7214504,7214504,8730846,8033243,65058,63736,62419,61110,59808,58512,57223,55943,7710803,7698104,9371582,8282592,7036332,9293785,8408440,9440345,10667854,9683037,7080114,7938499,,,,,7710803,,17069686,8282592,7036332,9293785,8408440,9440345,10667854,9683037,7080114,7938499,,,,
Estonia,Operator Holding Account,ENEFIT ENERGIATOOTMINE AS,Vaivara vald,Auvere küla,,,,,,,,,,,,,,,,,,,,,,,,,,12003,572774,1046924,,,,,,,,,,,,,,12003,572774,1046924,,,,
Estonia,Operator Holding Account,Enefit Taastuvenergia Osaühing,Lelle 22,Tallinn,505968,537952,572064,364192,364192,364192,215880,290036,205712,184092,81544,71373,61522,51990,42766,33873,373270,371992,302229,313860,158758,220107,167728,98650,77266,77917,71214,91802,,,,,373270,,674221,313860,158758,220107,167728,98650,77266,77917,71214,91802,,,,
Estonia,Operator Holding Account,Enefit Taastuvenergia OÜ,Lelle 22,Tallinn,,,,0,0,0,11138,5569,11007,9883,8790,7731,6703,5709,4746,3820,,,,,,,4989,5670,4016,3570,2665,761,,,,,,,,,,,4989,5670,4016,3570,2665,761,,,,
Estonia,Aircraft Operator Account,ESTONIAN AIR AS,Lennujaama tee 13,Tallinn,,,,,,,,44984,32448,32448,32448,0,,,,,,,,,,,,82259,62181,63413,61092,,,,,,,,,,,,,82259,,125594,61092,,,,,
Estonia,Operator Holding Account,FORTUM EESTI AS,Fortum Eesti AS,Tallinn,42771,44054,45376,35682,35682,35682,39272,37477,24259,20480,17053,14307,12325,10407,8551,6765,31841,35682,51298,37640,38394,30009,541,434,491,545,270,443,,,,,31841,35682,51298,37640,38394,30009,541,434,491,545,270,443,,,,
Estonia,Operator Holding Account,FORTUM EESTI AS,Fortum Eesti AS,Tallinn,17936,18474,19029,7316,7316,7316,2420,4868,3713,3126,2594,2118,1786,1508,1238,980,9191,7316,4501,226,4271,3705,1251,1391,1214,955,710,1751,,,,,9191,7316,4501,226,4271,3705,1251,1391,1214,955,710,1751,,,,
Estonia,Operator Holding Account,FORTUM EESTI AS,Lõõtsa 2b,Tallinn,,,,0,0,0,231703,231703,32316,28920,25620,22424,19329,16334,13437,10643,,,,Not Reported,,,39157,37020,13347,390,282,409,,,,,,,,,,,39157,37020,13347,390,282,409,,,,
Estonia,Operator Holding Account,Fortum Termest AS,Kassi 1,Tallinn,,,,1101,1101,1101,0,0,,,,,,,,,,1101,2108,2537,68,994,0,0,,,,,,,,,,1101,2108,2537,68,994,,,,,,,,,,
Estonia,Operator Holding Account,GROVE INVEST OU,Pärnu mnt 69B,Tallinn,12173,14982,16855,,,,,,,,,,,,,,6098,500,,,Not Reported,Not Reported,,,,,,,,,,,6098,,500,,,,,,,,,,,,,
Estonia,Operator Holding Account,GROVE INVEST OU,Pärnu mnt 69B,Tallinn,,,,,,,,,,,,,,,,,,,2816,,Not Reported,Not Reported,,,,,,,,,,,,,2816,,,,,,,,,,,,,
Estonia,Operator Holding Account,HORIZON TSELLULOOSI JA PABERI AS,Horizon Tselluloosi ja Paberi AS,Kehra,73500,78250,83122,49559,49559,49559,35953,42756,93787,92158,90510,88844,87161,85461,83740,82014,51115,49559,44009,37996,34835,39023,35503,27714,20237,28515,24322,24560,,,,,51115,49559,44009,37996,,73858,35503,27714,20237,28515,24322,24560,,,,
Estonia,Aircraft Operator Account,ISMAIL KARATAS,COBANCESME MEVKII 29 EKIM CAD. NO:16,ISTANBUL,,,,,,,,13445,856,856,856,856,856,856,865,856,,,,,,,,4135,1428,1202,Excluded,Excluded,,,,,,,,,,,,4135,,2630,,,,,,
Estonia,Operator Holding Account,KIVIOLI KEEMIATOOSTUSE OU,Kiviõli Keemiatööstuse OÜ,Kiviõli,131010,158470,185930,108328,108328,108328,161992,155982,99888,97207,94558,91943,89363,86815,84300,81820,130843,108988,122400,104121,105393,114282,120554,113081,114974,122877,134775,147058,,,,,130843,108988,122400,104121,105393,114282,120554,113081,114974,122877,134775,147058,,,,
Estonia,Operator Holding Account,KKT OIL OU,Turu 3,Kiviõli,,,,,,,,,,,,,,,,,,,,,,,,,,6764,16050,48825,,,,,,,,,,,,,,6764,16050,48825,,,,
Estonia,Operator Holding Account,KREENHOLMI VALDUSE AS,Kreenholmi Valduse AS,Narva,15645,16115,16598,11268,11268,11268,0,0,,,,,,,,,11669,11268,10228,5876,1027,0,,,,,,,,,,,,22937,10228,5876,1027,,,,,,,,,,,
Estonia,Operator Holding Account,KURESSAARE SOOJUS AS,Kuressaare Soojus AS,Kuressaare,32854,33109,33373,6239,6239,6239,4795,5517,12962,11600,10275,8989,7744,6539,5373,4251,9029,6239,6181,2589,4530,4536,3182,2260,395,250,562,300,,,,,9029,6239,6181,2589,4530,4536,3182,2260,395,250,562,300,,,,
Estonia,Operator Holding Account,O-I PRODUCTION ESTONIA AS,Tehase 7,Järvakandi,35933,38009,41960,35066,35066,35066,36674,35870,24815,24383,23947,23506,23061,22612,22156,21700,32476,35066,37646,33786,35246,40999,43139,40360,43902,33530,33380,31593,,,,,32476,35066,37646,69032,,40999,43139,40360,43902,33530,33380,31593,,,,
