Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Belgium,Operator Holding Account,SEGAL,Chaussée de Ramioul 50,Ivoz Ramet (Flémalle),43947,43947,43947,24643,24644,24644,24644,24644,26769,26304,25833,25358,24877,24392,23901,23408,27415,29322,29083,25388,25838,28611,26823,27485,27597,28626,28606,29432,,,,,27415,29322,29083,25388,25838,28611,26823,27485,27597,28626,28606,29432,,,,
Belgium,Aircraft Operator Account,SINGAPORE AIRLINES CARGO PTE LTD,"Airline House, Airline Road 25",Singapore,,,,,,,,764303,7628,7628,7628,7628,7628,7628,7628,7628,,,,,,,,9404,9070,7946,6813,6799,,,,,,,,,,,,9404,,17016,6813,6799,,,,
Belgium,Operator Holding Account,SOFIDEL BENELUX,Adolf Stocletlaan 3,Duffel,30817,30817,30816,28476,28476,28476,28476,28476,27746,27263,26776,26284,25785,25282,24774,24263,34221,28496,27805,30894,30408,30163,22847,28175,27735,28601,29723,30662,,,,,34221,28496,27805,30894,30408,30163,22847,28175,27735,28601,29723,30662,,,,
Belgium,Operator Holding Account,SOLAE BELGIUM,Zwaanhofweg 1,Ieper,,,,48069,48069,48069,48069,48069,30366,27175,33828,32629,31447,30282,29127,27995,,,,35496,31316,38117,35083,36489,38103,37967,35423,35429,,,,,,,,35496,31316,38117,35083,36489,38103,37967,35423,35429,,,,
Belgium,Operator Holding Account,SOLAR TURBINES,Avenue des Etats-Unis 1,Gosselies (Charleroi),4732,4731,4731,5098,5098,5098,5098,5099,2889,2839,2788,2737,2685,2633,2580,2527,3160,3146,3341,2638,2107,2116,2427,2002,2275,1932,1836,1792,,,,,3160,3146,3341,2638,2107,2116,2427,2002,2275,1932,1836,1792,,,,
Belgium,Operator Holding Account,Solarec,Rue de Saint-Hubert 75,Recogne (Libramont-Chevigny),39064,39063,39063,40073,40073,40074,40074,40074,26709,26028,25350,24675,24002,23333,22665,22005,31414,28726,27732,31138,29935,31575,30556,25809,30256,41200,42926,41623,,,,,31414,28726,27732,31138,29935,31575,30556,25809,30256,41200,42926,41623,,,,
Belgium,Operator Holding Account,Solvin,Ransbeekstraat 310,Neder-over-Heembeek,,,,,,,,,8466,8318,8169,8019,7867,7714,7559,7403,,,,,,,,,15518,16562,14817,14113,,,,,,,,,,,,,15518,16562,14820,14110,,,,
Belgium,Operator Holding Account,SONAC GENT,Braamtweg 2,Gent,8486,8486,8487,11800,11800,11800,11801,11801,8192,7331,6493,5682,4894,4133,3396,2687,10239,10994,12330,11501,12414,11743,11868,11899,12026,10111,11386,12124,,,,,10239,10994,12330,11501,12414,11743,11868,11899,12026,10111,11386,12124,,,,
Belgium,Operator Holding Account,Sonaca,Route Nationale 5,Gosselies (Charleroi),14737,14738,14738,12994,12995,12995,12995,12995,11481,11281,11079,10876,10670,10462,10250,10039,12404,12472,12612,12463,10820,11880,9459,9417,9206,7721,8284,8917,,,,,12404,12472,12612,12463,10820,11880,9459,9417,9206,7721,8284,8917,,,,
Belgium,Aircraft Operator Account,SOUTHERN AIR INC,7310 Turfway Road,Florence,,,,,,,,499,216,216,216,216,216,216,216,216,,,,,,,,335,2398,4476,2723,3660,,,,,,,,,,,,335,,6874,2723,3660,,,,
