Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Czech Republic,Operator Holding Account,"HASIT SUMAVSKE VAPENICE A OMITKARNY, S. R.O.",Velké Hydčice 91,Horažďovice,120240,120240,120240,53143,53143,53143,53143,53143,42526,41694,40856,40014,39168,38318,37461,36605,56371,48573,56285,39508,36408,35462,33943,27848,31377,28256,27477,27933,,,,,,104944,56285,39508,36408,35462,33943,27848,31377,28256,27477,27933,,,,
Czech Republic,Operator Holding Account,"HEINEKEN CESKA REPUBLIKA, A.S.",U Pivovaru 1,Krušovice,4700,4700,4700,5776,5776,5776,5776,5776,3766,3371,2986,2612,2250,1900,1561,1235,5142,5654,4653,4898,4672,4428,4038,4470,4049,3298,3304,3561,,,,,442,10354,4653,4898,4672,4428,4038,4470,4049,3298,3304,3561,,,,
Czech Republic,Operator Holding Account,"HELUZ CIHLARSKY PRUMYSL, V.O.S.",U Cihelny 295,Dolní Bukovsko,10032,10032,10032,10409,10409,10409,10409,10409,0,0,0,0,0,0,0,0,10409,7707,10299,5530,0,0,0,0,0,0,,,,,,,377,17739,10299,5530,,,,,,,,,,,,
Czech Republic,Operator Holding Account,"HELUZ CIHLARSKY PRUMYSL, V.O.S.",U Cihelny 295,Dolní Bukovsko,33997,33997,33997,52230,52230,52230,52230,52230,29450,28938,28421,27898,27369,26835,26295,25753,26724,24219,43642,28412,30573,21472,17353,21649,23649,10700,9634,14306,,,,,26724,24219,43642,28412,30573,21472,17353,21649,23649,10700,9634,14306,,,,
Czech Republic,Operator Holding Account,"HELUZ CIHLARSKY PRUMYSL, V.O.S.",U Cihelny 295,Dolní Bukovsko,40351,40351,40351,26800,26800,26800,26800,26800,26293,25837,25375,24908,24436,23959,23477,22993,18303,22182,24115,23564,16026,9051,17269,16320,15328,6654,7066,8489,,,,,12952,27533,24115,23564,16026,9051,17269,16320,15328,6654,7066,8489,,,,
Czech Republic,Operator Holding Account,"HELUZ CIHLARSKY PRUMYSL, V.O.S.",U Cihelny 295,Dolní Bukovsko,18088,18088,18088,9746,9746,9746,9746,9746,12253,12040,11824,11607,11387,11165,10940,10714,9177,9040,11214,7418,8339,7809,9042,8849,9265,6368,6697,6910,,,,,9177,9040,11214,7418,8339,7809,9042,8849,9265,6368,6697,6910,,,,
Czech Republic,Operator Holding Account,"HELUZ, S.R.O.",Dolní Bukovsko 295,Dolní Bukovsko,,,,665,49800,49800,49800,49800,25114,24678,24237,23791,23340,22885,22424,21962,,,,665,15911,20383,26777,33500,34296,15511,17508,15258,,,,,,,,665,15911,20383,26777,33500,34296,15511,17508,15258,,,,
Czech Republic,Aircraft Operator Account,"HOLIDAYS CZECH AIRLINES, A.S.",Jana Kašpara 1069/1,Praha 6,,,,,,,,,,,,,,,,,,,,,,,,88064,2154,,,,,,,,,,,,,,,88064,,2154,,,,,,
Czech Republic,Operator Holding Account,"HOLOUBEK ENERGO, A.S.",Vodičkova 20,Praha 1,43880,43880,43880,38361,38361,38361,38361,38361,17969,17627,17282,16934,16586,16234,15879,15525,36796,34906,39363,33782,29138,25612,26998,25296,31287,32868,30510,31248,,,,,3524,68178,39363,33782,29138,25612,26998,25296,31287,32868,30510,31248,,,,
Czech Republic,Operator Holding Account,"HUHTAMAKI CESKA REPUBLIKA, A.S.",Přibyslavice 101,Přibyslavice,9808,9808,9808,8504,8504,8504,9089,9089,5975,5348,4736,4145,3570,3014,2477,1960,8491,7404,7933,7834,7390,7602,8187,8396,8741,8888,9740,10021,,,,,,15895,7933,7834,7390,7602,8187,8396,8741,8888,9740,10021,,,,
