Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Bulgaria,Operator Holding Account,AMYLUM BULGARIA EAD,Severna industrialna zona,Razgrad,,,,38465,41131,44150,47450,52257,41995,41265,40527,39781,39027,38267,37496,36723,,,39170,38465,39257,48244,49908,49013,52923,52723,54953,48523,,,,,,,,,77722,48244,49908,49013,52923,52723,54953,48523,,,,
Bulgaria,Operator Holding Account,AURUBIS BULGARIA AD,Industrialna zona,Pirdop,,,,7700,9840,8480,8480,8841,450014,442197,434289,426299,418222,410067,401809,393523,,,9653,7700,2756,4810,1964,1709,46821,40346,38611,38420,,,,,,,,,10456,4810,1964,1709,46821,40346,38611,38420,,,,
Bulgaria,Operator Holding Account,Badestnost  JSCo,q.Industrialen,Chirpan,,,,726,2763,2382,2382,2483,,,,,,,,,,,2711,726,1232,350,202,0,,,,,,,,,,,,,1958,350,202,,,,,,,,,
Bulgaria,Operator Holding Account,BALKANPHARMA DUPNITSA AD,"str.Samokovsko chosse,3",Dupnitza,,,,6070,6187,5332,5332,5560,5237,5146,5054,4961,4867,4772,4676,4579,,,5124,6070,5601,4671,4922,5406,5282,5732,6042,5908,,,,,,,,,11671,4671,4922,5406,5282,5732,6042,5908,,,,
Bulgaria,Operator Holding Account,BALKANPHARMA TROYAN AD,str. Krairechna 1,Troyan,,,,5157,6400,5516,5516,5751,2375,2334,2292,2250,2208,2165,2121,2077,,,6279,5157,4573,2968,2141,1989,1748,1839,1775,1929,,,,,,,,,9730,2968,4282,152,1748,1839,1775,1929,,,,
Bulgaria,Aircraft Operator Account,BH AIR,Dyakon Ignatii 7 street,Sofia,,,,,,,,46217,41131,41131,41131,41131,41131,41131,41131,41131,,,,,,,,47432,41760,36878,33518,46814,,,,,,,,,,,,47432,,78638,33518,46814,,,,
Bulgaria,Operator Holding Account,Biovet JSCo,str.Petar Rakov 39,Pechtera,,,,5155,6743,5811,5811,6059,41175,40460,39736,39005,38267,37521,36764,36006,,,6615,5155,3589,951,21270,2082,12133,24360,24714,24893,,,,,,,,,8744,951,21270,2082,12133,24360,24714,24893,,,,
Bulgaria,Operator Holding Account,Biovet JSCo,str.Petar Rakov 39,Pechtera,,,,76843,37818,32591,41758,82430,0,0,0,0,0,0,0,0,,,88239,76843,74347,82853,19507,87097,40720,18,885,3897,,,,,,,,,151190,82853,19507,87097,40720,18,885,3897,,,,
Bulgaria,Operator Holding Account,Biovet JSCRazgrad Branch,bul.Aprilsko vastanie 68a,Razgrad,,,,18258,19747,17018,17019,17744,,,,,,,,,,,19373,18258,16197,15196,16997,11962,,,,,,,,,,,,,34455,15196,16997,11962,,,,,,,,
Bulgaria,Operator Holding Account,BISER OLIVA AD,quartier Industrialen,Stara Zagora,,,,138,1384,1193,1193,1244,,,,,,,,,,,,138,281,261,456,685,,,,,,,,,,,,,419,261,456,685,,,,,,,,
Bulgaria,Operator Holding Account,BRIKEL EAD,Promishlena zona,Galabovo,,,,1751501,789199,680138,680144,1231233,372130,332546,294185,257126,221319,186763,153409,121445,,,1962283,1751501,1452041,1292676,297585,1087889,1074467,1179578,956267,853070,,,,,,,,,2820172,1292676,297585,1087899,1074467,1179578,956267,853070,,,,
